Section: 224, Row: 13, Price: $19
Section: 213, Row: 10, Price: $40
Section: 225, Row: 10, Price: $40
Section: 225, Row: 11, Price: $40
Section: 224, Row: 4, Price: $40
Section: 211, Row: 12, Price: $40
Section: 228, Row: 7, Price: $40
Section: 209, Row: 11, Price: $40
Section: 227, Row: 12, Price: $40
Section: 209, Row: 12, Price: $40
Section: 224, Row: 10, Price: $40
Section: 210, Row: 9, Price: $40
Section: 204, Row: 13, Price: $41
Section: 206, Row: 11, Price: $41
Section: 201, Row: 9, Price: $42
Section: 212, Row: 2, Price: $42
Section: 231, Row: 5, Price: $42
Section: 216, Row: 6, Price: $43
Section: 226, Row: 3, Price: $43
Section: 230, Row: 6, Price: $43
Section: 215, Row: 5, Price: $44
Section: 202, Row: 14, Price: $45
Section: 216, Row: 9, Price: $45
Section: 227, Row: 6, Price: $45
Section: 211, Row: 10, Price: $45
Section: 228, Row: 5, Price: $45
Section: 204, Row: 9, Price: $46
Section: 206, Row: 10, Price: $46
Section: 229, Row: 8, Price: $46
Section: 230, Row: 5, Price: $46
Section: 218, Row: 8, Price: $47
Section: 202, Row: 11, Price: $47
Section: 204, Row: 14, Price: $47
Section: 218, Row: 12, Price: $47
Section: 201, Row: 8, Price: $47
Section: 202, Row: 13, Price: $47
Section: 226, Row: 14, Price: $47
Section: 204, Row: 12, Price: $48
Section: 227, Row: 11, Price: $48
Section: 210, Row: 4, Price: $48
Section: 220, Row: 9, Price: $49
Section: 218, Row: 14, Price: $49
Section: 217, Row: 13, Price: $49
Section: 226, Row: 5, Price: $49
Section: 232, Row: 14, Price: $50
Section: 217, Row: 6, Price: $50
Section: 224, Row: 3, Price: $50
Section: 226, Row: 4, Price: $50
Section: 213, Row: 7, Price: $50
Section: 209, Row: 7, Price: $51
Section: 205, Row: 9, Price: $52
Section: 215, Row: 11, Price: $52
Section: 220, Row: 13, Price: $53
Section: 229, Row: 9, Price: $53
Section: 225, Row: 8, Price: $53
Section: 215, Row: 10, Price: $53
Section: 201, Row: 7, Price: $54
Section: 232, Row: 13, Price: $55
Section: 206, Row: 8, Price: $55
Section: 204, Row: 11, Price: $55
Section: 230, Row: 2, Price: $55
Section: 210, Row: 3, Price: $55
Section: 201, Row: 6, Price: $56
Section: 223, Row: 7, Price: $57
Section: 209, Row: 9, Price: $57
Section: 224, Row: 8, Price: $57
Section: 203, Row: 14, Price: $58
Section: 212, Row: 1, Price: $58
Section: 214, Row: 13, Price: $58
Section: 204, Row: 8, Price: $59
Section: 213, Row: 14, Price: $60
Section: 207, Row: 8, Price: $60
Section: 222, Row: 9, Price: $60
Section: 225, Row: 12, Price: $61
Section: 208, Row: 14, Price: $61
Section: 206, Row: 13, Price: $62
Section: 208, Row: 14, Price: $62
Section: 229, Row: 13, Price: $62
Section: 219, Row: 9, Price: $63
Section: 227, Row: 12, Price: $63
Section: 212, Row: 7, Price: $63
Section: 222, Row: 8, Price: $64
Section: 229, Row: 7, Price: $66
Section: 223, Row: 9, Price: $66
Section: 207, Row: 10, Price: $66
Section: 215, Row: 9, Price: $66
Section: 223, Row: 14, Price: $66
Section: 228, Row: 1, Price: $67
Section: 225, Row: 12, Price: $67
Section: 226, Row: 5, Price: $67
Section: 218, Row: 13, Price: $69
Section: 201, Row: 13, Price: $69
Section: 222, Row: 10, Price: $69
Section: 220, Row: 12, Price: $69
Section: 231, Row: 11, Price: $71
Section: 215, Row: 13, Price: $71
Section: 224, Row: 11, Price: $71
Section: 217, Row: 9, Price: $73
Section: 226, Row: 6, Price: $76
Section: 232, Row: 8, Price: $77
Section: 207, Row: 9, Price: $77
Section: 222, Row: 9, Price: $77
Section: 216, Row: 14, Price: $77
Section: 215, Row: 1, Price: $78
Section: 228, Row: 2, Price: $78
Section: 215, Row: 3, Price: $79
Section: 221, Row: 13, Price: $79
Section: 231, Row: 7, Price: $79
Section: 210, Row: 1, Price: $80
Section: 201, Row: 5, Price: $81
Section: 201, Row: 11, Price: $81
Section: 225, Row: 7, Price: $81
Section: 207, Row: 11, Price: $81
Section: 231, Row: 14, Price: $81
Section: 217, Row: 12, Price: $82
Section: 203, Row: 13, Price: $83
Section: 213, Row: 6, Price: $84
Section: 205, Row: 13, Price: $90
Section: 223, Row: 8, Price: $90
Section: 223, Row: 9, Price: $90
Section: 202, Row: 8, Price: $92
Section: 218, Row: 10, Price: $92
Section: 217, Row: 10, Price: $92
Section: 221, Row: 7, Price: $92
Section: 220, Row: 5, Price: $96
Section: 219, Row: 8, Price: $97
Section: 202, Row: 9, Price: $97
Section: 220, Row: 10, Price: $97
Section: 203, Row: 10, Price: $101
Section: 220, Row: 10, Price: $102
Section: 202, Row: 10, Price: $103
Section: 219, Row: 11, Price: $111
Section: 218, Row: 4, Price: $112
Section: 109, Row: 25, Price: $116
Section: 205, Row: 1, Price: $116
Section: 109, Row: 15, Price: $117
Section: 211, Row: 1, Price: $117
Section: 203, Row: 12, Price: $118
Section: 107, Row: 28, Price: $120
Section: 109, Row: 23, Price: $123
Section: 107, Row: 18, Price: $125
Section: 110, Row: 26, Price: $125
Section: 110, Row: 27, Price: $125
Section: 231, Row: 4, Price: $125
Section: 207, Row: 14, Price: $125
Section: 219, Row: 7, Price: $127
Section: 111, Row: 27, Price: $131
Section: 106, Row: 25, Price: $132
Section: 116, Row: 28, Price: $133
Section: 231, Row: 2, Price: $133
Section: 106, Row: 24, Price: $135
Section: 228, Row: 3, Price: $136
Section: 106, Row: 18, Price: $137
Section: 110, Row: 25, Price: $137
Section: 119, Row: 15, Price: $140
Section: 124, Row: 24, Price: $141
Section: 108, Row: 27, Price: $141
Section: 112, Row: 24, Price: $142
Section: 110, Row: 21, Price: $142
Section: 108, Row: 24, Price: $144
Section: 105, Row: 27, Price: $144
Section: 104, Row: 28, Price: $147
Section: 107, Row: 25, Price: $147
Section: 220, Row: 14, Price: $148
Section: 104, Row: 27, Price: $149
Section: 111, Row: 28, Price: $149
Section: 119, Row: 11, Price: $150
Section: 108, Row: 19, Price: $151
Section: 104, Row: 21, Price: $152
Section: 113, Row: 23, Price: $154
Section: 104, Row: 24, Price: $155
Section: 118, Row: 17, Price: $158
Section: 106, Row: 15, Price: $158
Section: 110, Row: 17, Price: $158
Section: 110, Row: 28, Price: $158
Section: 120, Row: 14, Price: $158
Section: 108, Row: 13, Price: $159
Section: 116, Row: 27, Price: $159
Section: 109, Row: 14, Price: $159
Section: 218, Row: 1, Price: $161
Section: 106, Row: 19, Price: $162
Section: 108, Row: 15, Price: $162
Section: 108, Row: 23, Price: $162
Section: 116, Row: 25, Price: $164
Section: 112, Row: 28, Price: $167
Section: 108, Row: 20, Price: $167
Section: 104, Row: 18, Price: $168
Section: 108, Row: 12, Price: $169
Section: 112, Row: 22, Price: $169
Section: 110, Row: 24, Price: $169
Section: 109, Row: 28, Price: $169
