Section: 212, Row: 11, Price: $18, Est. Price: $23.40
Section: 217, Row: 8, Price: $24, Est. Price: $31.20
Section: 222, Row: 7, Price: $24, Est. Price: $31.20
Section: 224, Row: 10, Price: $24, Est. Price: $31.20
Section: 228, Row: 4, Price: $24, Est. Price: $31.20
Section: 218, Row: 12, Price: $24, Est. Price: $31.20
Section: 124, Row: 27, Price: $88, Est. Price: $114.40
Section: 230, Row: 7, Price: $24, Est. Price: $31.20
Section: 226, Row: 10, Price: $24, Est. Price: $31.20
Section: 212, Row: 14, Price: $24, Est. Price: $31.20
Section: 230, Row: 9, Price: $24, Est. Price: $31.20
Section: 231, Row: 9, Price: $24, Est. Price: $31.20
Section: 209, Row: 8, Price: $24, Est. Price: $31.20
Section: 211, Row: 10, Price: $24, Est. Price: $31.20
Section: 209, Row: 9, Price: $24, Est. Price: $31.20
Section: 202, Row: 13, Price: $25, Est. Price: $32.50
Section: 202, Row: 14, Price: $25, Est. Price: $32.50
Section: 222, Row: 14, Price: $25, Est. Price: $32.50
Section: 205, Row: 9, Price: $25, Est. Price: $32.50
Section: 223, Row: 12, Price: $25, Est. Price: $32.50
Section: 201, Row: 9, Price: $25, Est. Price: $32.50
Section: 219, Row: 14, Price: $25, Est. Price: $32.50
Section: 217, Row: 14, Price: $25, Est. Price: $32.50
Section: 223, Row: 8, Price: $25, Est. Price: $32.50
Section: 213, Row: 12, Price: $25, Est. Price: $32.50
Section: 215, Row: 6, Price: $25, Est. Price: $32.50
Section: 215, Row: 11, Price: $25, Est. Price: $32.50
Section: 224, Row: 6, Price: $25, Est. Price: $32.50
Section: 215, Row: 13, Price: $25, Est. Price: $32.50
Section: 210, Row: 10, Price: $25, Est. Price: $32.50
Section: 226, Row: 13, Price: $25, Est. Price: $32.50
Section: 227, Row: 9, Price: $25, Est. Price: $32.50
Section: 224, Row: 14, Price: $25, Est. Price: $32.50
Section: 227, Row: 10, Price: $25, Est. Price: $32.50
Section: 202, Row: 12, Price: $26, Est. Price: $33.80
Section: 213, Row: 13, Price: $26, Est. Price: $33.80
Section: 212, Row: 5, Price: $26, Est. Price: $33.80
Section: 225, Row: 14, Price: $26, Est. Price: $33.80
Section: 219, Row: 12, Price: $26, Est. Price: $33.80
Section: 224, Row: 7, Price: $26, Est. Price: $33.80
Section: 230, Row: 4, Price: $26, Est. Price: $33.80
Section: 210, Row: 5, Price: $26, Est. Price: $33.80
Section: 212, Row: 13, Price: $26, Est. Price: $33.80
Section: 226, Row: 9, Price: $26, Est. Price: $33.80
Section: 229, Row: 14, Price: $26, Est. Price: $33.80
Section: 231, Row: 4, Price: $26, Est. Price: $33.80
Section: 210, Row: 9, Price: $26, Est. Price: $33.80
Section: 226, Row: 14, Price: $26, Est. Price: $33.80
Section: 227, Row: 12, Price: $26, Est. Price: $33.80
Section: 228, Row: 12, Price: $26, Est. Price: $33.80
Section: 209, Row: 12, Price: $26, Est. Price: $33.80
Section: 210, Row: 14, Price: $26, Est. Price: $33.80
Section: 211, Row: 12, Price: $26, Est. Price: $33.80
Section: 223, Row: 2, Price: $27, Est. Price: $35.10
Section: 201, Row: 8, Price: $27, Est. Price: $35.10
Section: 201, Row: 6, Price: $27, Est. Price: $35.10
Section: 215, Row: 5, Price: $27, Est. Price: $35.10
Section: 218, Row: 10, Price: $27, Est. Price: $35.10
Section: 227, Row: 13, Price: $27, Est. Price: $35.10
Section: 228, Row: 11, Price: $27, Est. Price: $35.10
Section: 230, Row: 8, Price: $27, Est. Price: $35.10
Section: 230, Row: 6, Price: $27, Est. Price: $35.10
Section: 204, Row: 12, Price: $28, Est. Price: $36.40
Section: 202, Row: 11, Price: $28, Est. Price: $36.40
Section: 217, Row: 7, Price: $28, Est. Price: $36.40
Section: 212, Row: 7, Price: $28, Est. Price: $36.40
Section: 210, Row: 2, Price: $28, Est. Price: $36.40
Section: 215, Row: 8, Price: $28, Est. Price: $36.40
Section: 221, Row: 6, Price: $28, Est. Price: $36.40
Section: 224, Row: 4, Price: $28, Est. Price: $36.40
Section: 228, Row: 5, Price: $28, Est. Price: $36.40
Section: 221, Row: 9, Price: $28, Est. Price: $36.40
Section: 210, Row: 8, Price: $28, Est. Price: $36.40
Section: 231, Row: 6, Price: $28, Est. Price: $36.40
Section: 216, Row: 14, Price: $29, Est. Price: $37.70
Section: 206, Row: 14, Price: $29, Est. Price: $37.70
Section: 206, Row: 12, Price: $29, Est. Price: $37.70
Section: 222, Row: 13, Price: $29, Est. Price: $37.70
Section: 216, Row: 6, Price: $30, Est. Price: $39.00
Section: 230, Row: 2, Price: $30, Est. Price: $39.00
Section: 212, Row: 9, Price: $30, Est. Price: $39.00
Section: 215, Row: 4, Price: $30, Est. Price: $39.00
Section: 215, Row: 7, Price: $30, Est. Price: $39.00
Section: 210, Row: 4, Price: $30, Est. Price: $39.00
Section: 228, Row: 9, Price: $30, Est. Price: $39.00
Section: 210, Row: 13, Price: $30, Est. Price: $39.00
Section: 203, Row: 10, Price: $31, Est. Price: $40.30
Section: 217, Row: 11, Price: $31, Est. Price: $40.30
Section: 219, Row: 13, Price: $31, Est. Price: $40.30
Section: 218, Row: 11, Price: $31, Est. Price: $40.30
Section: 220, Row: 14, Price: $31, Est. Price: $40.30
Section: 211, Row: 8, Price: $31, Est. Price: $40.30
Section: 229, Row: 8, Price: $31, Est. Price: $40.30
Section: 216, Row: 9, Price: $32, Est. Price: $41.60
Section: 219, Row: 10, Price: $32, Est. Price: $41.60
Section: 226, Row: 8, Price: $32, Est. Price: $41.60
Section: 204, Row: 14, Price: $33, Est. Price: $42.90
Section: 223, Row: 6, Price: $33, Est. Price: $42.90
Section: 225, Row: 13, Price: $33, Est. Price: $42.90
Section: 231, Row: 3, Price: $33, Est. Price: $42.90
Section: 225, Row: 7, Price: $33, Est. Price: $42.90
Section: 203, Row: 7, Price: $34, Est. Price: $44.20
Section: 201, Row: 10, Price: $34, Est. Price: $44.20
Section: 212, Row: 2, Price: $34, Est. Price: $44.20
Section: 220, Row: 9, Price: $34, Est. Price: $44.20
Section: 206, Row: 8, Price: $35, Est. Price: $45.50
Section: 218, Row: 8, Price: $34, Est. Price: $44.20
Section: 218, Row: 14, Price: $35, Est. Price: $45.50
Section: 226, Row: 2, Price: $35, Est. Price: $45.50
Section: 218, Row: 7, Price: $35, Est. Price: $45.50
Section: 205, Row: 5, Price: $36, Est. Price: $46.80
Section: 217, Row: 6, Price: $36, Est. Price: $46.80
Section: 206, Row: 6, Price: $36, Est. Price: $46.80
Section: 231, Row: 7, Price: $36, Est. Price: $46.80
Section: 212, Row: 4, Price: $37, Est. Price: $48.10
Section: 223, Row: 14, Price: $37, Est. Price: $48.10
Section: 206, Row: 10, Price: $38, Est. Price: $49.40
Section: 222, Row: 10, Price: $38, Est. Price: $49.40
Section: 222, Row: 9, Price: $38, Est. Price: $49.40
Section: 232, Row: 12, Price: $38, Est. Price: $49.40
Section: 210, Row: 3, Price: $38, Est. Price: $49.40
Section: 203, Row: 8, Price: $39, Est. Price: $50.70
Section: 222, Row: 8, Price: $39, Est. Price: $50.70
Section: 203, Row: 11, Price: $40, Est. Price: $52.00
Section: 225, Row: 11, Price: $40, Est. Price: $52.00
Section: 232, Row: 8, Price: $40, Est. Price: $52.00
Section: 213, Row: 10, Price: $40, Est. Price: $52.00
Section: 227, Row: 14, Price: $40, Est. Price: $52.00
Section: 210, Row: 12, Price: $40, Est. Price: $52.00
Section: 209, Row: 11, Price: $40, Est. Price: $52.00
Section: 211, Row: 14, Price: $40, Est. Price: $52.00
Section: 205, Row: 13, Price: $41, Est. Price: $53.30
Section: 201, Row: 13, Price: $41, Est. Price: $53.30
Section: 227, Row: 6, Price: $41, Est. Price: $53.30
Section: 221, Row: 11, Price: $41, Est. Price: $53.30
Section: 202, Row: 7, Price: $42, Est. Price: $54.60
Section: 216, Row: 12, Price: $42, Est. Price: $54.60
Section: 217, Row: 9, Price: $42, Est. Price: $54.60
Section: 216, Row: 7, Price: $42, Est. Price: $54.60
Section: 202, Row: 6, Price: $43, Est. Price: $55.90
Section: 215, Row: 10, Price: $43, Est. Price: $55.90
Section: 219, Row: 7, Price: $43, Est. Price: $55.90
Section: 218, Row: 5, Price: $43, Est. Price: $55.90
Section: 225, Row: 8, Price: $43, Est. Price: $55.90
Section: 213, Row: 14, Price: $48, Est. Price: $62.40
Section: 201, Row: 11, Price: $49, Est. Price: $63.70
Section: 222, Row: 11, Price: $49, Est. Price: $63.70
Section: 228, Row: 1, Price: $49, Est. Price: $63.70
Section: 232, Row: 9, Price: $49, Est. Price: $63.70
Section: 215, Row: 9, Price: $49, Est. Price: $63.70
Section: 232, Row: 11, Price: $49, Est. Price: $63.70
Section: 220, Row: 12, Price: $49, Est. Price: $63.70
Section: 224, Row: 13, Price: $49, Est. Price: $63.70
Section: 213, Row: 8, Price: $50, Est. Price: $65.00
Section: 107, Row: 17, Price: $52, Est. Price: $67.60
Section: 108, Row: 22, Price: $52, Est. Price: $67.60
Section: 219, Row: 11, Price: $52, Est. Price: $67.60
Section: 228, Row: 2, Price: $52, Est. Price: $67.60
Section: 109, Row: 18, Price: $52, Est. Price: $67.60
Section: 204, Row: 6, Price: $53, Est. Price: $68.90
Section: 206, Row: 10, Price: $53, Est. Price: $68.90
Section: 226, Row: 1, Price: $53, Est. Price: $68.90
Section: 226, Row: 4, Price: $53, Est. Price: $68.90
Section: 205, Row: 7, Price: $54, Est. Price: $70.20
Section: 205, Row: 8, Price: $54, Est. Price: $70.20
Section: 108, Row: 19, Price: $54, Est. Price: $70.20
Section: 220, Row: 13, Price: $54, Est. Price: $70.20
Section: 221, Row: 7, Price: $54, Est. Price: $70.20
Section: 107, Row: 27, Price: $56, Est. Price: $72.80
Section: 223, Row: 14, Price: $56, Est. Price: $72.80
Section: 207, Row: 14, Price: $56, Est. Price: $72.80
Section: 223, Row: 5, Price: $57, Est. Price: $74.10
Section: 224, Row: 1, Price: $57, Est. Price: $74.10
Section: 219, Row: 9, Price: $57, Est. Price: $74.10
Section: 120, Row: 13, Price: $58, Est. Price: $75.40
Section: 107, Row: 28, Price: $59, Est. Price: $76.70
Section: 204, Row: 9, Price: $60, Est. Price: $78.00
Section: 107, Row: 18, Price: $61, Est. Price: $79.30
Section: 203, Row: 11, Price: $63, Est. Price: $81.90
Section: 108, Row: 24, Price: $63, Est. Price: $81.90
Section: 225, Row: 12, Price: $63, Est. Price: $81.90
Section: 202, Row: 8, Price: $64, Est. Price: $83.20
Section: 110, Row: 27, Price: $64, Est. Price: $83.20
Section: 110, Row: 24, Price: $64, Est. Price: $83.20
Section: 220, Row: 10, Price: $64, Est. Price: $83.20
Section: 229, Row: 12, Price: $64, Est. Price: $83.20
Section: 206, Row: 13, Price: $65, Est. Price: $84.50
Section: 110, Row: 23, Price: $65, Est. Price: $84.50
Section: 109, Row: 25, Price: $65, Est. Price: $84.50
Section: 108, Row: 21, Price: $69, Est. Price: $89.70
Section: 215, Row: 1, Price: $69, Est. Price: $89.70
Section: 225, Row: 11, Price: $74, Est. Price: $96.20
Section: 224, Row: 11, Price: $74, Est. Price: $96.20
Section: 229, Row: 10, Price: $74, Est. Price: $96.20
Section: 107, Row: 21, Price: $75, Est. Price: $97.50
Section: 230, Row: 1, Price: $75, Est. Price: $97.50
Section: 231, Row: 2, Price: $76, Est. Price: $98.80
Section: 109, Row: 15, Price: $76, Est. Price: $98.80
Section: 205, Row: 1, Price: $78, Est. Price: $101.40
Section: 105, Row: 24, Price: $78, Est. Price: $101.40
Section: 205, Row: 12, Price: $78, Est. Price: $101.40
Section: 116, Row: 27, Price: $78, Est. Price: $101.40
Section: 230, Row: 6, Price: $78, Est. Price: $101.40
Section: 205, Row: 14, Price: $79, Est. Price: $102.70
Section: 116, Row: 28, Price: $79, Est. Price: $102.70
Section: 222, Row: 12, Price: $79, Est. Price: $102.70
Section: 221, Row: 13, Price: $79, Est. Price: $102.70
Section: 205, Row: 12, Price: $83, Est. Price: $107.90
Section: 205, Row: 14, Price: $83, Est. Price: $107.90
Section: 111, Row: 19, Price: $84, Est. Price: $109.20
Section: 105, Row: 28, Price: $85, Est. Price: $110.50
Section: 110, Row: 26, Price: $85, Est. Price: $110.50
Section: 112, Row: 26, Price: $86, Est. Price: $111.80
Section: 107, Row: 26, Price: $86, Est. Price: $111.80
Section: 106, Row: 27, Price: $87, Est. Price: $113.10
Section: 105, Row: 27, Price: $88, Est. Price: $114.40
Section: 112, Row: 23, Price: $88, Est. Price: $114.40
Section: 105, Row: 25, Price: $89, Est. Price: $115.70
Section: 108, Row: 15, Price: $89, Est. Price: $115.70
Section: 120, Row: 12, Price: $89, Est. Price: $115.70
Section: 112, Row: 25, Price: $89, Est. Price: $115.70
Section: 111, Row: 25, Price: $88, Est. Price: $114.40
Section: 110, Row: 28, Price: $90, Est. Price: $117.00
Section: 222, Row: 6, Price: $90, Est. Price: $117.00
Section: 220, Row: 11, Price: $90, Est. Price: $117.00
Section: 110, Row: 17, Price: $91, Est. Price: $118.30
Section: 124, Row: 21, Price: $92, Est. Price: $119.60
Section: 121, Row: 14, Price: $93, Est. Price: $120.90
Section: 110, Row: 20, Price: $93, Est. Price: $120.90
Section: 115, Row: 27, Price: $95, Est. Price: $123.50
Section: 118, Row: 17, Price: $95, Est. Price: $123.50
Section: 106, Row: 28, Price: $95, Est. Price: $123.50
Section: 107, Row: 25, Price: $95, Est. Price: $123.50
Section: 108, Row: 28, Price: $95, Est. Price: $123.50
Section: 103, Row: 27, Price: $97, Est. Price: $126.10
Section: 117, Row: 17, Price: $97, Est. Price: $126.10
Section: 104, Row: 27, Price: $97, Est. Price: $126.10
Section: 120, Row: 14, Price: $97, Est. Price: $126.10
Section: 122, Row: 12, Price: $99, Est. Price: $128.70
Section: 124, Row: 24, Price: $99, Est. Price: $128.70
Section: 113, Row: 28, Price: $99, Est. Price: $128.70
Section: 109, Row: 16, Price: $99, Est. Price: $128.70
Section: 118, Row: 13, Price: $100, Est. Price: $130.00
Section: 112, Row: 18, Price: $100, Est. Price: $130.00
Section: 120, Row: 11, Price: $104, Est. Price: $135.20
Section: 107, Row: 14, Price: $104, Est. Price: $135.20
Section: 118, Row: 10, Price: $105, Est. Price: $136.50
Section: 220, Row: 9, Price: $105, Est. Price: $136.50
Section: 105, Row: 18, Price: $108, Est. Price: $140.40
Section: 109, Row: 28, Price: $108, Est. Price: $140.40
Section: 108, Row: 12, Price: $110, Est. Price: $143.00
Section: 220, Row: 8, Price: $110, Est. Price: $143.00
Section: 103, Row: 28, Price: $111, Est. Price: $144.30
Section: 115, Row: 28, Price: $111, Est. Price: $144.30
Section: 119, Row: 17, Price: $111, Est. Price: $144.30
Section: 105, Row: 26, Price: $112, Est. Price: $145.60
Section: 106, Row: 24, Price: $112, Est. Price: $145.60
Section: 120, Row: 16, Price: $112, Est. Price: $145.60
Section: 111, Row: 28, Price: $112, Est. Price: $145.60
Section: 119, Row: 20, Price: $112, Est. Price: $145.60
Section: 109, Row: 20, Price: $114, Est. Price: $148.20
Section: 108, Row: 18, Price: $115, Est. Price: $149.50
Section: 119, Row: 13, Price: $115, Est. Price: $149.50
Section: 106, Row: 18, Price: $116, Est. Price: $150.80
Section: 204, Row: 8, Price: $117, Est. Price: $152.10
Section: 107, Row: 23, Price: $117, Est. Price: $152.10
Section: 113, Row: 27, Price: $118, Est. Price: $153.40
Section: 106, Row: 27, Price: $118, Est. Price: $153.40
Section: 121, Row: 17, Price: $119, Est. Price: $154.70
Section: 106, Row: 16, Price: $120, Est. Price: $156.00
Section: 119, Row: 11, Price: $120, Est. Price: $156.00
Section: 201, Row: 1, Price: $121, Est. Price: $157.30
Section: 205, Row: 6, Price: $121, Est. Price: $157.30
Section: 112, Row: 15, Price: $121, Est. Price: $157.30
Section: 201, Row: 7, Price: $121, Est. Price: $157.30
Section: 219, Row: 8, Price: $121, Est. Price: $157.30
Section: 220, Row: 8, Price: $121, Est. Price: $157.30
Section: 114, Row: 28, Price: $122, Est. Price: $158.60
Section: 104, Row: 28, Price: $122, Est. Price: $158.60
Section: 104, Row: 21, Price: $124, Est. Price: $161.20
Section: 104, Row: 17, Price: $125, Est. Price: $162.50
Section: 112, Row: 13, Price: $125, Est. Price: $162.50
Section: 108, Row: 13, Price: $125, Est. Price: $162.50
Section: 104, Row: 25, Price: $127, Est. Price: $165.10
Section: 212, Row: 1, Price: $127, Est. Price: $165.10
Section: 204, Row: 5, Price: $128, Est. Price: $166.40
Section: 101, Row: 22, Price: $129, Est. Price: $167.70
Section: 106, Row: 13, Price: $129, Est. Price: $167.70
Section: 104, Row: 24, Price: $129, Est. Price: $167.70
Section: 112, Row: 28, Price: $129, Est. Price: $167.70
Section: 124, Row: 20, Price: $130, Est. Price: $169.00
Section: 117, Row: 16, Price: $130, Est. Price: $169.00
Section: 114, Row: 21, Price: $132, Est. Price: $171.60
Section: 112, Row: 10, Price: $134, Est. Price: $174.20
Section: 231, Row: 1, Price: $134, Est. Price: $174.20
Section: 111, Row: 14, Price: $135, Est. Price: $175.50
Section: 109, Row: 13, Price: $137, Est. Price: $178.10
Section: 104, Row: 18, Price: $138, Est. Price: $179.40
Section: 113, Row: 22, Price: $139, Est. Price: $180.70
Section: 121, Row: 19, Price: $139, Est. Price: $180.70
Section: 218, Row: 3, Price: $139, Est. Price: $180.70
Section: 220, Row: 3, Price: $140, Est. Price: $182.00
Section: 114, Row: 25, Price: $143, Est. Price: $185.90
Section: 114, Row: 24, Price: $143, Est. Price: $185.90
Section: 102, Row: 24, Price: $143, Est. Price: $185.90
Section: 102, Row: 25, Price: $143, Est. Price: $185.90
Section: 115, Row: 17, Price: $143, Est. Price: $185.90
Section: 115, Row: 23, Price: $155, Est. Price: $201.50
Section: 111, Row: 16, Price: $157, Est. Price: $204.10
Section: 102, Row: 28, Price: $159, Est. Price: $206.70
Section: 106, Row: 12, Price: $160, Est. Price: $208.00
Section: 218, Row: 2, Price: $160, Est. Price: $208.00
Section: 105, Row: 14, Price: $161, Est. Price: $209.30
Section: 124, Row: 25, Price: $161, Est. Price: $209.30
Section: 114, Row: 22, Price: $164, Est. Price: $213.20
Section: 103, Row: 19, Price: $167, Est. Price: $217.10
Section: 124, Row: 22, Price: $168, Est. Price: $218.40
Section: 102, Row: 17, Price: $169, Est. Price: $219.70
Section: 109, Row: 27, Price: $170, Est. Price: $221.00
Section: 108, Row: 4, Price: $171, Est. Price: $222.30
Section: 112, Row: 6, Price: $179, Est. Price: $232.70
Section: 104, Row: 15, Price: $181, Est. Price: $235.30
Section: 115, Row: 24, Price: $182, Est. Price: $236.60
Section: 103, Row: 18, Price: $183, Est. Price: $237.90
Section: 117, Row: 9, Price: $183, Est. Price: $237.90
Section: 108, Row: 17, Price: $184, Est. Price: $239.20
Section: 204, Row: 1, Price: $188, Est. Price: $244.40
Section: 108, Row: 9, Price: $191, Est. Price: $248.30
Section: 117, Row: 15, Price: $217, Est. Price: $282.10
Section: 122, Row: 15, Price: $217, Est. Price: $282.10
Section: 108, Row: 8, Price: $217, Est. Price: $282.10
Section: 116, Row: 11, Price: $219, Est. Price: $284.70
Section: 116, Row: 12, Price: $220, Est. Price: $286.00
Section: 111, Row: 11, Price: $220, Est. Price: $286.00
Section: 117, Row: 6, Price: $223, Est. Price: $289.90
Section: 108, Row: 7, Price: $223, Est. Price: $289.90
Section: 106, Row: 8, Price: $226, Est. Price: $293.80
Section: 116, Row: 18, Price: $226, Est. Price: $293.80
Section: 121, Row: 18, Price: $230, Est. Price: $299.00
Section: 113, Row: 18, Price: $231, Est. Price: $300.30
Section: 114, Row: 26, Price: $232, Est. Price: $301.60
Section: 104, Row: 25, Price: $232, Est. Price: $301.60
Section: 114, Row: 18, Price: $246, Est. Price: $319.80
Section: 108, Row: 6, Price: $246, Est. Price: $319.80
Section: 118, Row: 4, Price: $247, Est. Price: $321.10
Section: 121, Row: 10, Price: $247, Est. Price: $321.10
Section: 111, Row: 13, Price: $247, Est. Price: $321.10
Section: 112, Row: 12, Price: $258, Est. Price: $335.40
Section: 121, Row: 10, Price: $260, Est. Price: $338.00
Section: 112, Row: 22, Price: $260, Est. Price: $338.00
Section: 118, Row: 8, Price: $261, Est. Price: $339.30
Section: 124, Row: 26, Price: $261, Est. Price: $339.30
Section: 116, Row: 24, Price: $261, Est. Price: $339.30
Section: 102, Row: 16, Price: $270, Est. Price: $351.00
Section: 104, Row: 20, Price: $274, Est. Price: $356.20
Section: 120, Row: 6, Price: $274, Est. Price: $356.20
Section: 120, Row: 3, Price: $274, Est. Price: $356.20
Section: 123, Row: 17, Price: $274, Est. Price: $356.20
Section: 112, Row: 20, Price: $274, Est. Price: $356.20
Section: 121, Row: 9, Price: $274, Est. Price: $356.20
Section: 116, Row: 20, Price: $274, Est. Price: $356.20
Section: 110, Row: 9, Price: $274, Est. Price: $356.20
Section: 117, Row: 13, Price: $276, Est. Price: $358.80
Section: 120, Row: 10, Price: $276, Est. Price: $358.80
Section: 104, Row: 13, Price: $277, Est. Price: $360.10
Section: 102, Row: 15, Price: $283, Est. Price: $367.90
Section: 120, Row: 8, Price: $288, Est. Price: $374.40
Section: 101, Row: 15, Price: $289, Est. Price: $375.70
Section: 108, Row: 1, Price: $290, Est. Price: $377.00
Section: 115, Row: 15, Price: $290, Est. Price: $377.00
Section: 120, Row: 1, Price: $290, Est. Price: $377.00
Section: 114, Row: 25, Price: $291, Est. Price: $378.30
Section: 122, Row: 6, Price: $291, Est. Price: $378.30
Section: 106, Row: 2, Price: $292, Est. Price: $379.60
Section: 101, Row: 16, Price: $292, Est. Price: $379.60
Section: 115, Row: 13, Price: $295, Est. Price: $383.50
Section: 114, Row: 19, Price: $296, Est. Price: $384.80
Section: 113, Row: 17, Price: $296, Est. Price: $384.80
Section: 115, Row: 22, Price: $296, Est. Price: $384.80
Section: 114, Row: 12, Price: $297, Est. Price: $386.10
Section: 103, Row: 26, Price: $301, Est. Price: $391.30
Section: 101, Row: 25, Price: $301, Est. Price: $391.30
Section: 115, Row: 25, Price: $301, Est. Price: $391.30
Section: 103, Row: 17, Price: $305, Est. Price: $396.50
Section: 104, Row: 8, Price: $307, Est. Price: $399.10
Section: 117, Row: 8, Price: $307, Est. Price: $399.10
Section: 114, Row: 19, Price: $309, Est. Price: $401.70
Section: 102, Row: 26, Price: $314, Est. Price: $408.20
Section: 113, Row: 16, Price: $314, Est. Price: $408.20
Section: 115, Row: 19, Price: $314, Est. Price: $408.20
Section: 101, Row: 24, Price: $316, Est. Price: $410.80
Section: 118, Row: 3, Price: $316, Est. Price: $410.80
Section: 112, Row: 19, Price: $316, Est. Price: $410.80
Section: 113, Row: 26, Price: $316, Est. Price: $410.80
Section: 110, Row: 7, Price: $322, Est. Price: $418.60
Section: 106, Row: 3, Price: $323, Est. Price: $419.90
Section: 120, Row: 26, Price: $324, Est. Price: $421.20
Section: 110, Row: 1, Price: $326, Est. Price: $423.80
Section: 115, Row: 22, Price: $332, Est. Price: $431.60
Section: 123, Row: 14, Price: $333, Est. Price: $432.90
Section: 104, Row: 9, Price: $336, Est. Price: $436.80
Section: 228, Row: 14, Price: $344, Est. Price: $447.20
Section: 102, Row: 19, Price: $346, Est. Price: $449.80
Section: 113, Row: 19, Price: $346, Est. Price: $449.80
Section: 113, Row: 20, Price: $346, Est. Price: $449.80
Section: 113, Row: 21, Price: $346, Est. Price: $449.80
Section: 111, Row: 9, Price: $346, Est. Price: $449.80
Section: 214, Row: 14, Price: $348, Est. Price: $452.40
Section: 104, Row: 10, Price: $352, Est. Price: $457.60
Section: 102, Row: 8, Price: $358, Est. Price: $465.40
Section: 114, Row: 14, Price: $359, Est. Price: $466.70
Section: 101, Row: 15, Price: $369, Est. Price: $479.70
Section: 102, Row: 11, Price: $386, Est. Price: $501.80
Section: 121, Row: 24, Price: $391, Est. Price: $508.30
Section: 204, Row: 2, Price: $395, Est. Price: $513.50
Section: 114, Row: 11, Price: $402, Est. Price: $522.60
Section: 101, Row: 14, Price: $420, Est. Price: $546.00
Section: 113, Row: 11, Price: $420, Est. Price: $546.00
Section: 115, Row: 12, Price: $420, Est. Price: $546.00
Section: 114, Row: 13, Price: $505, Est. Price: $656.50
Section: 114, Row: 9, Price: $517, Est. Price: $672.10
Section: 114, Row: 6, Price: $531, Est. Price: $690.30
Section: 103, Row: 7, Price: $533, Est. Price: $692.90
Section: 122, Row: 10, Price: $544, Est. Price: $707.20
Section: 120, Row: 25, Price: $561, Est. Price: $729.30
Section: 101, Row: 19, Price: $668, Est. Price: $868.40
Section: 114, Row: 2, Price: $760, Est. Price: $988.00
Section: 105, Row: 2, Price: $916, Est. Price: $1190.80
Section: 103, Row: 1, Price: $938, Est. Price: $1219.40
Section: 114, Row: 1, Price: $983, Est. Price: $1277.90
Section: 102, Row: 1, Price: $1,165, Est. Price: $1514.50
Section: 101, Row: 1, Price: $1,281, Est. Price: $1665.30
Section: 102, Row: 4, Price: $1,390, Est. Price: $1807.00
