Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 104, Row: 25, Price: $198.00, Est. Price: $198.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c553?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 435, Row: 3, Price: $136.00, Est. Price: $136.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010ce8f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 444, Row: 8, Price: $143.00, Est. Price: $143.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbebd3e2207e70b41c935?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 436, Row: 4, Price: $151.00, Est. Price: $151.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/678471d35f5eedb9b592cd33?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 420, Row: 8, Price: $164.00, Est. Price: $164.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbece3e2207e70b435177?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 412, Row: 11, Price: $179.00, Est. Price: $179.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c579?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 113, Row: 34, Price: $192.00, Est. Price: $192.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c4f6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 102, Row: 22, Price: $193.00, Est. Price: $193.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e526dec8018c76fc90b3?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 103, Row: 27, Price: $197.00, Est. Price: $197.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e4ffdec8018c76fa1f14?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 103, Row: 22, Price: $199.00, Est. Price: $199.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e52edec8018c76fd034a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 102, Row: 28, Price: $200.00, Est. Price: $200.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e50bdec8018c76facb65?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 410, Row: 3, Price: $204.00, Est. Price: $204.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67bf68372f94efc8101f6dc7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 124, Row: 32, Price: $206.00, Est. Price: $206.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e501dec8018c76fa3792?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 115, Row: 20, Price: $206.00, Est. Price: $206.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e511dec8018c76fb2572?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 125, Row: 14, Price: $209.00, Est. Price: $209.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010ce1a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 115, Row: 15, Price: $210.00, Est. Price: $210.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e514dec8018c76fb7add?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 125, Row: 30, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67b51cf72f94efc810a1cf21?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 124, Row: 24, Price: $213.00, Est. Price: $213.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e52bdec8018c76fcddbc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 421, Row: 4, Price: $214.00, Est. Price: $214.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbece3e2207e70b435181?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 123, Row: 14, Price: $216.00, Est. Price: $216.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e503dec8018c76fa542a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 124, Row: 19, Price: $221.00, Est. Price: $221.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e526dec8018c76fc90bb?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 134, Row: 25, Price: $231.00, Est. Price: $231.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c48e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 135, Row: 32, Price: $236.00, Est. Price: $236.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e512dec8018c76fb5d6e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 136, Row: 25, Price: $237.00, Est. Price: $237.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e508dec8018c76faa48d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 135, Row: 27, Price: $238.00, Est. Price: $238.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e529dec8018c76fcbde7?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 449, Row: A, Price: $239.00, Est. Price: $239.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e527dec8018c76fca65b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 125, Row: 7, Price: $240.00, Est. Price: $240.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010ce62?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 445, Row: E, Price: $241.00, Est. Price: $241.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010ce5a?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 136, Row: 19, Price: $242.00, Est. Price: $242.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e51edec8018c76fc1e4c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 113, Row: 15, Price: $243.00, Est. Price: $243.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c49b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 440, Row: A, Price: $245.00, Est. Price: $245.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e524dec8018c76fc6d48?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 447, Row: 1, Price: $245.00, Est. Price: $245.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e506dec8018c76fa8cdc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 452, Row: A, Price: $245.00, Est. Price: $245.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e50ddec8018c76fadfc8?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 435, Row: A, Price: $245.00, Est. Price: $245.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e50bdec8018c76facb55?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 135, Row: 21, Price: $248.00, Est. Price: $248.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e50bdec8018c76facb59?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 135, Row: 16, Price: $256.00, Est. Price: $256.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e512dec8018c76fb5d7b?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 114, Row: 7, Price: $259.00, Est. Price: $259.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e506dec8018c76fa8cd2?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 117, Row: 31, Price: $263.00, Est. Price: $263.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67bf68372f94efc8101f6dc1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 120, Row: 18, Price: $267.00, Est. Price: $267.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e529dec8018c76fcbdf6?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 125, Row: 25, Price: $270.00, Est. Price: $270.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e4ffdec8018c76fa1f0c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 455, Row: A, Price: $270.00, Est. Price: $270.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e511dec8018c76fb2570?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 135, Row: 37, Price: $271.00, Est. Price: $271.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e526dec8018c76fc90ad?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 134, Row: 17, Price: $272.00, Est. Price: $272.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010cdfc?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 454, Row: A, Price: $273.00, Est. Price: $273.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e51edec8018c76fc1e45?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 118, Row: 20, Price: $274.00, Est. Price: $274.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e524dec8018c76fc6d3d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 136, Row: 31, Price: $275.00, Est. Price: $275.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e512dec8018c76fb5d65?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 123, Row: 26, Price: $279.00, Est. Price: $279.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbefe3e2207e70b4746f1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 127, Row: 23, Price: $282.00, Est. Price: $282.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbebd3e2207e70b41c92e?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 111, Row: 37, Price: $282.00, Est. Price: $282.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbebd3e2207e70b41c923?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 111, Row: 32, Price: $285.00, Est. Price: $285.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67bf68372f94efc8101f6db5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 132, Row: 30, Price: $287.00, Est. Price: $287.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e519dec8018c76fbcee1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 106, Row: 22, Price: $288.00, Est. Price: $288.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010ce33?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 106, Row: 14, Price: $297.00, Est. Price: $297.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c4ab?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 132, Row: 14, Price: $298.00, Est. Price: $298.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67a379a7f6af5e52e4c7d47f?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 413, Row: 8, Price: $305.00, Est. Price: $305.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67acbece3e2207e70b435187?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 131, Row: 34, Price: $307.00, Est. Price: $307.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010c58d?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 128, Row: 39, Price: $314.00, Est. Price: $314.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010cea5?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 114, Row: 14, Price: $319.00, Est. Price: $319.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c9e52ddec8018c76fcf5e1?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 230, Row: 2, Price: $325.00, Est. Price: $325.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67bf68352f94efc8101f46a4?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 129, Row: 26, Price: $328.00, Est. Price: $328.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/6789cfb05f5eedb9b5fc997c?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
Date: tbd6, Home Team: Cardinals, Away Team: Jaguars, Section: 131, Row: 29, Price: $329.00, Est. Price: $329.00, URL: https://gametime.co/nfl-football/jaguars-at-cardinals-tickets/3-6-2026-glendale-az-state-farm-stadium/events/677c9379ad326bb02758a392/listings/67c00c632f94efc81010cdef?queryId=2ad66b0ab8729716e09c684705f4fb08&resultPosition=3&searchIndex=performers
