Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e6f0923f9bcd9aedee
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 144, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098a35f0923f9bcdf1ff13
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0def0923f9bcd9a766a
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d9580adec8018c761dc98c
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d986dcdec8018c7631a8c6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957fddec8018c761d20f6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95809dec8018c761dc011
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 8, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d9f489dec8018c76a2f00f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957f3dec8018c761c9513
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95809dec8018c761dc095
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 8, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957fadec8018c761d00e1
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe19b98988f2dbd742de
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957f1dec8018c761c84a2
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0dcf0923f9bcd9a3c39
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896e795f5eedb9b552a69c
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0e9f0923f9bcd9b0daf
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0d9f0923f9bcd99f3a6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df75f5eedb9b544caa4
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 20, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896de65f5eedb9b5432f5f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d48fb8dec8018c7684e404
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09acdec8018c761a55e7
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098b25f0923f9bcd0bed0a
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957fedec8018c761d31c9
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95803dec8018c761d7bd4
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09b4dec8018c761b66e1
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09bedec8018c761c79e5
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe17b98988f2dbd723d7
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/6764fe18b98988f2dbd734e3
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 32, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09b4dec8018c761b6498
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 32, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09c6dec8018c761d75e2
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098b55f0923f9bcd0fc3c3
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0dbf0923f9bcd9a2df6
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 27, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d9b51fdec8018c76a32b71
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 19, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d957f5dec8018c761cb2af
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 31, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67d95803dec8018c761d7ade
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 135, Row: 12, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896df55f5eedb9b544a25f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 6, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098bb2f0923f9bcd1aeaaf
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 110, Row: 10, Price: $52.00, Est. Price: $52.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67896deb5f5eedb9b543bc39
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 134, Row: 3, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67098d34f0923f9bcd471cf7
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 109, Row: 9, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/670ea0def0923f9bcd9a767e
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09c2dec8018c761d0462
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09acdec8018c761a520a
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09acdec8018c761a522f
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09aedec8018c761a99e3
Date: 09-16-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 32, Price: $53.00, Est. Price: $53.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/9-16-2025-phoenix-az-chase-field/events/66a1722fb0cc2cb65c53b1b3/listings/67ca09c0dec8018c761cc117
