Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 101, Row: 22, Price: $33, Est. Price: $52.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8960162257
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 305, Row: 8, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933357111
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 324, Row: 17, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8985050822
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 325, Row: 9, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933356837
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 326, Row: 11, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366328
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 327, Row: 9, Price: $37, Est. Price: $59.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366273
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 316, Row: 13, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8943801412
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 330, Row: 9, Price: $38, Est. Price: $60.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829736274
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 302, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936931476
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 140, Row: 21, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8869968836
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 13, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8823455135
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 301, Row: 2, Price: $39, Est. Price: $62.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829756579
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 105, Row: 18, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8960212926
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 310, Row: 10, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371440
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 311, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371435
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 312, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358704
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 313, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933356645
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 320, Row: 13, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371406
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 321, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8990968207
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 314, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8941401122
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 319, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371442
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 317, Row: 12, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371409
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 318, Row: 11, Price: $40, Est. Price: $64.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371450
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 307, Row: 2, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8827481838
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 304, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829760423
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 328, Row: 8, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8982723808
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 3, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829736410
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 310, Row: 9, Price: $41, Est. Price: $65.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8943800254
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 311, Row: 11, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936931475
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 12, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793912392
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 140, Row: 13, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8960162047
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 325, Row: 4, Price: $42, Est. Price: $67.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8896204419
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 308, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8944197225
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 309, Row: 10, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8854347362
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 331, Row: 1, Price: $43, Est. Price: $68.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936890021
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 324, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829752282
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 312, Row: 10, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936805771
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 330, Row: 1, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936805833
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 306, Row: 8, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8930498840
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 326, Row: 9, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829736171
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 332, Row: 11, Price: $44, Est. Price: $70.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8916314517
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 322, Row: 32, Price: $45, Est. Price: $72.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8904537515
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 322, Row: 11, Price: $46, Est. Price: $73.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829729579
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 104, Row: 19, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371393
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 103, Row: 20, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358766
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 102, Row: 20, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933358575
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 137, Row: 31, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366355
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 106, Row: 31, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933357392
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 144, Row: 16, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933371413
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 139, Row: 27, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8933366354
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 138, Row: 37, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8941400765
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 318, Row: 9, Price: $47, Est. Price: $75.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936933152
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 324, Row: 6, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829729344
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 323, Row: 10, Price: $48, Est. Price: $76.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8913764636
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 136, Row: 34, Price: $49, Est. Price: $78.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8887317745
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 313, Row: 8, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936933093
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 317, Row: 9, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936933106
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 132, Row: 4, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8894838386
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 108, Row: 26, Price: $50, Est. Price: $80.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8914730564
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 104, Row: 14, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793918386
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 103, Row: 14, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793918213
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 141, Row: 11, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793912223
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 144, Row: 11, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8937531065
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 136, Row: 17, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8607848112
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 306, Row: 1, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936808333
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 326, Row: 1, Price: $51, Est. Price: $81.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936808366
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 108, Row: 24, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8607850266
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 142, Row: 17, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8840530392
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 320, Row: 12, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8913764390
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 133, Row: 9, Price: $52, Est. Price: $83.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793937243
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 143, Row: 28, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8935071687
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 111, Row: 11, Price: $53, Est. Price: $84.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793932628
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 111, Row: 10, Price: $54, Est. Price: $86.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793932604
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 310, Row: 3, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936931486
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 133, Row: 6, Price: $55, Est. Price: $88.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8902090263
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 143, Row: 14, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8840530266
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 134, Row: 3, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793937572
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 313, Row: 7, Price: $56, Est. Price: $89.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8937086835
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 106, Row: 28, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829844056
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 111, Row: 7, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793932560
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 311, Row: 2, Price: $57, Est. Price: $91.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8941097040
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 111, Row: 6, Price: $58, Est. Price: $92.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793932519
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 111, Row: 5, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8793932495
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 310, Row: 2, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8930498847
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 107, Row: 28, Price: $59, Est. Price: $94.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936933208
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 322, Row: 4, Price: $60, Est. Price: $96.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8829729595
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 102, Row: 16, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889556
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 137, Row: 27, Price: $61, Est. Price: $88.45, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889376
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 133, Row: 3, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8024663453
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 108, Row: 19, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8607845959
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 102, Row: 15, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889540
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 142, Row: 15, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936890122
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 107, Row: 26, Price: $62, Est. Price: $89.90, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889288
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 143, Row: 12, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889869
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 142, Row: 13, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8936889844
Date: 09-07-2025, Home Team: Dbacks, Away Team: Red Sox, Section: 106, Row: 27, Price: $63, Est. Price: $91.35, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-9-7-2025/event/154664624/?quantity=2&listingId=8983807626
