Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 116, Row: 23, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67dd87b8d4811782d3298b66
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 144, Row: 11, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6704d7e81a2fe259046b9a8c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 321, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0d6f0923f9bcd999702
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 325, Row: 1, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0def0923f9bcd9a760c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 308, Row: 1, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e3f0923f9bcd9ac6ae
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 137, Row: 29, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e7f0923f9bcd9af7f3
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 307, Row: 1, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6789695f5f5eedb9b5cec27d
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 107, Row: 29, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a5b5f5eedb9b5e70e94
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 140, Row: 39, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5cb98988f2db587e3b
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32024d4811782d3304a4d
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 300, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32025d4811782d3306371
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 330, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202ed4811782d3315b19
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32046d4811782d333fe10
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32047d4811782d3343376
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3204cd4811782d334e69e
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32053d4811782d335bf68
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32056d4811782d336173c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969a75f5eedb9b5d373e6
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 319, Row: 1, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0daf0923f9bcd9a0de9
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 15, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a5a5f5eedb9b5e6f89f
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 136, Row: 26, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e1f0923f9bcd9aa934
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 315, Row: 32, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa59b98988f2db5814b8
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 103, Row: 14, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a515f5eedb9b5e60a64
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 105, Row: 18, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67d48fc0dec8018c7686271d
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 306, Row: 12, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32024d4811782d3304b8c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 305, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202ad4811782d330f1ca
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 307, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202bd4811782d330f357
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 326, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32033d4811782d331c9aa
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 325, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32038d4811782d3323149
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 327, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32044d4811782d333a637
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 308, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32047d4811782d33424c9
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 324, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32051d4811782d33575ec
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 309, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e5b634d4811782d317f70e
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67ec3c3ed4811782d33667fd
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 142, Row: 11, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0d9f0923f9bcd99f2dd
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 315, Row: 1, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0dbf0923f9bcd9a2e27
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 104, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db584873
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 107, Row: 39, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5cb98988f2db587e21
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 310, Row: 32, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5cb98988f2db587e85
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 314, Row: 1, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/678969a45f5eedb9b5d2f8d2
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 108, Row: 20, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a545f5eedb9b5e65348
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 143, Row: 12, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a5e5f5eedb9b5e75890
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 111, Row: 10, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6704d8a21a2fe2590477775d
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 137, Row: 39, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa58b98988f2db57f3e5
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 326, Row: 40, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db58491c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 332, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db585edc
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 331, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67dcae1ad4811782d302cbcf
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 301, Row: 32, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67dcaeabd4811782d3180995
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 319, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db584823
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 102, Row: 39, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db58489b
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 313, Row: 32, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db584988
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 323, Row: 36, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6764fa5bb98988f2db585dfb
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 112, Row: 7, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67d48fbcdec8018c768558f9
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 318, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202cd4811782d331169a
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202cd4811782d3312446
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 317, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e3202ed4811782d331523f
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 131, Row: 21, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67eb6874d4811782d3d489e2
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 134, Row: 3, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/6704da171a2fe259049d0709
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e0f0923f9bcd9a928c
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 135, Row: 12, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67896a925f5eedb9b5ed564e
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32027d4811782d330a1d8
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 143, Row: 19, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32035d4811782d331e94e
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 106, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67e32056d4811782d3361b62
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 144, Row: 15, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/67ead31fd4811782d3c55d83
Date: 04-24-2025, Home Team: Dbacks, Away Team: Rays, Section: 109, Row: 9, Price: $51.00, Est. Price: $51.00, URL: https://gametime.co/mlb-baseball/rays-at-diamondbacks-tickets/4-24-2025-phoenix-az-chase-field/events/66a170d982a078a95ab95ae0/listings/670ea0e4f0923f9bcd9ace31
