Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 128, Row: 25, Price: $74.00, Est. Price: $74.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea104f0923f9bcd9c96ec
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda4b98988f2dbce87da
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea104f0923f9bcd9c9697
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea107f0923f9bcd9ccdd8
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2a5f5eedb9b549dd15
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 315, Row: 9, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2c5f5eedb9b54a0ef7
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2b5f5eedb9b549ed46
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 139, Row: 17, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10ff0923f9bcd9d4037
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 107, Row: 29, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e3b5f5eedb9b54bd7d5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 310, Row: 3, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10bf0923f9bcd9cf41b
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 101, Row: 22, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e15d38d4811782d3eb1882
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea100f0923f9bcd9c47ea
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cc9d4811782d39e6e8d
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cf5d4811782d3a21c55
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54ce9d4811782d3a0d435
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cd1d4811782d39ef8eb
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cc9d4811782d39e65a5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cefd4811782d3a17257
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cb5d4811782d39d32cd
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 137, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10bf0923f9bcd9cf3ce
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 103, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6709809ff0923f9bcdceb7e9
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 321, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea104f0923f9bcd9c8c53
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 104, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6709809ff0923f9bcdceb7bd
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 324, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2f5f5eedb9b54a71e5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea102f0923f9bcd9c7348
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea107f0923f9bcd9cc3b3
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 301, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e6ad4811782d3b4698b
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 330, Row: 10, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cf1d4811782d3a19963
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 331, Row: 31, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e93d4811782d3b99a78
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 144, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670980cdf0923f9bcdd311b8
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 311, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e245f5eedb9b5493ce5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 307, Row: 1, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e385f5eedb9b54b7708
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 308, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e7ad4811782d3b68f7d
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 325, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54ccbd4811782d39e93cd
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 323, Row: 34, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e4cd4811782d3af19dc
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 323, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cf5d4811782d3a21418
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 305, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e80d4811782d3b70c92
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 306, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e5dd4811782d3b1fe44
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 327, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e90d4811782d3b920e5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 309, Row: 33, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e4bd4811782d3aeefca
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda5b98988f2dbcea128
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10bf0923f9bcd9cf8bd
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 324, Row: 11, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cc3d4811782d39e0723
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e805f5eedb9b553c837
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 314, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e2b5f5eedb9b549ece8
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 21, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67896e345f5eedb9b54b1c10
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 105, Row: 18, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e15d35d4811782d3eae389
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 319, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea101f0923f9bcd9c6a8a
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 315, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea105f0923f9bcd9caa79
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6709812cf0923f9bcddc7670
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 318, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cbbd4811782d39d9d19
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 314, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cc7d4811782d39e4e42
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 317, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cdad4811782d39fb880
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 310, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cdcd4811782d39feac5
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 316, Row: 14, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cdad4811782d39fc8cf
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 322, Row: 10, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cb3d4811782d39d151d
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda2b98988f2dbce347a
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6764fda4b98988f2dbce661f
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/6709815bf0923f9bcde1bde0
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 320, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e49d4811782d3aec175
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 318, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e96d4811782d3ba0909
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 312, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e45e8cd4811782d3b8a435
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/670ea10ef0923f9bcd9d3227
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cebd4811782d3a1058e
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 20, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cedd4811782d3a135e1
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 139, Row: 24, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cded4811782d3a01065
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 106, Row: 28, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cc7d4811782d39e46fb
Date: 08-20-2025, Home Team: Dbacks, Away Team: Guardians, Section: 140, Row: 19, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/guardians-at-diamondbacks-tickets/8-20-2025-phoenix-az-chase-field/events/66a1720af43fc3fc6ee1a5fd/listings/67e54cbbd4811782d39d955d
