Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 220, Row: 10, Price: $115.00, Est. Price: $115.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67eff8f40b271341d1e0720e
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 32, Price: $70.00, Est. Price: $70.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad1b98988f2db63c078
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ec3af1d4811782d314bb70
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad0b98988f2db638d61
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 32, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad1b98988f2db63c0b5
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 12, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ed908fd4811782d3292825
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 21, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b618762f94efc8101e82d9
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 32, Price: $77.00, Est. Price: $77.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e7677fd4811782d3ab41ba
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 32, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef467b0b271341d17c609b
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46bc0b271341d186bd6d
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 40, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46fd0b271341d18e4482
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 38, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47580b271341d199c94d
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 32, Price: $78.00, Est. Price: $78.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef482d0b271341d1b1e3e4
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 1, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b8bff72f94efc810105d34
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 12, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ccc56bdec8018c76e2e713
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 40, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46180b271341d16ef2f6
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 40, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46260b271341d1707e6b
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 40, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46a50b271341d18360af
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47200b271341d19244eb
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 40, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47850b271341d19f2d7f
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 40, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47b10b271341d1a48818
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 12, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01df20b271341d1609947
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 13, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01df70b271341d161b40c
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 21, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f042b40b271341d1b5b0bc
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 12, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f042c50b271341d1b814b7
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 14, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f042cc0b271341d1b9495d
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 6, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67bcfb512f94efc810998c52
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 6, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67bcfb512f94efc810998c55
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 18, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01dde0b271341d15d4be6
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 16, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01de10b271341d15dd21f
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 19, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01df60b271341d161727f
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46790b271341d17be738
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef46920b271341d1806036
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47160b271341d190eccb
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef476d0b271341d19c7c4b
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47e50b271341d1aa2489
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47e90b271341d1aa7e7b
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef484a0b271341d1b56754
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 32, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef484c0b271341d1b59f92
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 39, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad3b98988f2db63dd93
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 39, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b106c52f94efc8108103d5
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 17, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67c1fe25dec8018c76abd683
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 39, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6796baa726a9cb75c5c27765
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 27, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b8bf652f94efc810035446
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 14, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01de40b271341d15e4892
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 14, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01de70b271341d15ec35b
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 14, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01df30b271341d160dadc
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 14, Price: $94.00, Est. Price: $94.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f01df70b271341d161b3e5
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 20, Price: $95.00, Est. Price: $95.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b8beec2f94efc810f97cbd
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 39, Price: $100.00, Est. Price: $100.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/678c639a5f5eedb9b5992f71
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 39, Price: $101.00, Est. Price: $101.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764faceb98988f2db63634a
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 15, Price: $103.00, Est. Price: $103.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67cb0d16dec8018c767e74c7
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 24, Price: $106.00, Est. Price: $106.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b3d4f32f94efc810b1f304
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 24, Price: $107.00, Est. Price: $107.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67dc410bd4811782d33e2a05
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 37, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/679bf89ff6af5e52e4b5bb8f
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 217, Row: 11, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e9e001d4811782d3e38ade
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 27, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f031f00b271341d1ca2ca1
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 35, Price: $108.00, Est. Price: $108.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f042c10b271341d1b772de
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 21, Price: $110.00, Est. Price: $110.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67aab0e63e2207e70b6c20e0
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 24, Price: $110.00, Est. Price: $110.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e320c8d4811782d34155d5
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 24, Price: $110.00, Est. Price: $110.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f030b90b271341d1a8b4dc
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 37, Price: $111.00, Est. Price: $111.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/679bf89cf6af5e52e4b5964e
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 200, Row: 11, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6764fad3b98988f2db63dd58
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 110, Row: 39, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e99729d4811782d336403c
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 203, Row: 11, Price: $112.00, Est. Price: $112.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ed88f3d4811782d34d0ff5
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 134, Row: 39, Price: $114.00, Est. Price: $114.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b151eb2f94efc810281cbf
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 25, Price: $114.00, Est. Price: $114.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e320c5d4811782d3412dff
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 29, Price: $115.00, Est. Price: $115.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/670ea1f2f0923f9bcdb08135
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 37, Price: $117.00, Est. Price: $117.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67a00a6ff6af5e52e48c5850
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 38, Price: $117.00, Est. Price: $117.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef472b0b271341d193ce8e
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 38, Price: $117.00, Est. Price: $117.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef47660b271341d19b9bbb
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 28, Price: $120.00, Est. Price: $120.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67b23c6a2f94efc810792ba8
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 133, Row: 16, Price: $121.00, Est. Price: $121.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e2d502d4811782d3db125e
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 31, Price: $121.00, Est. Price: $121.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f030b90b271341d1a8b4e4
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 28, Price: $122.00, Est. Price: $122.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67896e775f5eedb9b55264fa
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 34, Price: $122.00, Est. Price: $122.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ab70fc3e2207e70ba4a5dc
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 13, Price: $123.00, Est. Price: $123.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/6786811f5f5eedb9b568e1bc
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 39, Price: $124.00, Est. Price: $124.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67ef473a0b271341d195b303
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 110, Row: 34, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67e6cd62d4811782d38737e7
Date: 05-10-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 32, Price: $125.00, Est. Price: $125.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-10-2025-phoenix-az-chase-field/events/66a17114218fbd1123388267/listings/67f023930b271341d113d417
