Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 128, Row: 25, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0dcf0923f9bcd9a3c55
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 307, Row: 2, Price: $36.00, Est. Price: $36.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67bc81ec2f94efc810cbf7f9
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 13, Price: $37.00, Est. Price: $37.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d7e81a2fe259046b9a38
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896ded5f5eedb9b543ce04
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896dec5f5eedb9b543c3b6
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896de55f5eedb9b543225a
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 9, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e5f0923f9bcd9adb65
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc76b98988f2db97ba45
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 40, Price: $38.00, Est. Price: $38.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc78b98988f2db97e57b
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 13, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/678683f15f5eedb9b59e2dbc
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 30, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d7f0923f9bcd99bbcf
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 19, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e9f0923f9bcd9b1598
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 17, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896df35f5eedb9b54468b8
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 313, Row: 8, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896df45f5eedb9b5447473
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 2, Price: $39.00, Est. Price: $39.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896deb5f5eedb9b543bbfd
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 137, Row: 29, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d9f0923f9bcd99f32c
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 3, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d8f0923f9bcd99de70
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 101, Row: 22, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e15d3cd4811782d3eb4a46
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 306, Row: 2, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d9f0923f9bcd99f306
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 332, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc8d4811782d3edddfd
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 300, Row: 9, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd0d4811782d3ee9ef7
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 10, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc6d4811782d3edb440
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 329, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffdbd4811782d3efa35c
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 328, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffced4811782d3ee7f38
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 303, Row: 12, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc9d4811782d3ee031a
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 304, Row: 11, Price: $40.00, Est. Price: $40.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffccd4811782d3ee5b55
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 17, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0daf0923f9bcd9a0dec
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 107, Row: 29, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896df95f5eedb9b544fc07
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 103, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d75c1a2fe2590461680f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 104, Row: 14, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d75c1a2fe2590461684b
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 311, Row: 2, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896df25f5eedb9b5445ac0
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0daf0923f9bcd9a0dcb
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d7f0923f9bcd99bb90
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 1, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e6f0923f9bcd9aed67
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 301, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67eac23cd4811782d3cf45d3
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 330, Row: 10, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd8d4811782d3ef5f75
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 331, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e45e91d4811782d3b93eee
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 302, Row: 32, Price: $41.00, Est. Price: $41.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67eac219d4811782d3cc0709
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 144, Row: 11, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d7e81a2fe259046b9aa6
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 321, Row: 2, Price: $42.00, Est. Price: $42.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0dff0923f9bcd9a7fa5
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 308, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc9d4811782d3ee04a6
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 325, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd3d4811782d3eee78d
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd0d4811782d3eea1dd
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 323, Row: 32, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e45e3ed4811782d3ad18a6
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 305, Row: 9, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffdad4811782d3ef88e3
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 327, Row: 10, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc9d4811782d3ee069b
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 309, Row: 11, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc9d4811782d3ee087d
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 326, Row: 40, Price: $43.00, Est. Price: $43.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc76b98988f2db97b9d1
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 136, Row: 26, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e9f0923f9bcd9b0e20
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 324, Row: 12, Price: $44.00, Est. Price: $44.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd0d4811782d3ee9fbd
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 12, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896e7a5f5eedb9b552cbcc
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 319, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0dbf0923f9bcd9a2de8
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 1, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896de75f5eedb9b5434c71
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 108, Row: 20, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67896df35f5eedb9b54468dd
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 105, Row: 18, Price: $45.00, Est. Price: $45.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e15d39d4811782d3eb1bf0
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 315, Row: 1, Price: $46.00, Est. Price: $46.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0d6f0923f9bcd999764
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 111, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d8a21a2fe25904777725
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc6d4811782d3edb434
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 314, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffced4811782d3ee8151
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 317, Row: 12, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e9e359d4811782d341fac2
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 310, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc3d4811782d3ed638d
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 316, Row: 15, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffcbd4811782d3ee36c1
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 322, Row: 11, Price: $47.00, Est. Price: $47.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffc4d4811782d3ed8b5c
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 143, Row: 31, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc78b98988f2db97e44f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 102, Row: 39, Price: $48.00, Est. Price: $48.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6764fc78b98988f2db97f44e
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 9, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/6704d9ba1a2fe259049289a2
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 320, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e45e72d4811782d3b5d236
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 318, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e45e72d4811782d3b5d65f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 312, Row: 32, Price: $49.00, Est. Price: $49.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e9ff9bd4811782d317a02d
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 133, Row: 16, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/670ea0e3f0923f9bcd9ac73f
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 138, Row: 30, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd5d4811782d3ef0b46
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 142, Row: 23, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd3d4811782d3eee3fa
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 139, Row: 25, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67eb4307d4811782d33d19ad
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 106, Row: 29, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd3d4811782d3eee679
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 140, Row: 22, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffd6d4811782d3ef3032
Date: 07-01-2025, Home Team: Dbacks, Away Team: Giants, Section: 141, Row: 23, Price: $50.00, Est. Price: $50.00, URL: https://gametime.co/mlb-baseball/giants-at-diamondbacks-tickets/7-1-2025-phoenix-az-chase-field/events/66a171b6d8d60cfab6f1b764/listings/67e3ffdad4811782d3ef8ff1
