Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 200, Row: 3, Price: $86.00, Est. Price: $86.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e71c54d4811782d3e58418
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 32, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad1b98988f2db63c143
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 36, Price: $60.00, Est. Price: $60.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad2b98988f2db63cb85
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 304, Row: 28, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e727e6d4811782d350bb3b
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 332, Row: 14, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eb2648d4811782d3fd7b4b
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 7, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eb6544d4811782d3946814
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 300, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ed9b46d4811782d369ead8
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 328, Row: 17, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef3bd10b271341d182cc07
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 303, Row: 23, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b40b271341d1b5b0cf
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 18, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b80b271341d1b6517b
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 13, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042be0b271341d1b71353
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 9, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042bf0b271341d1b73fbe
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 329, Row: 19, Price: $62.00, Est. Price: $62.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042c40b271341d1b7e344
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764facfb98988f2db638525
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 32, Price: $65.00, Est. Price: $65.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad2b98988f2db63cb95
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 12, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e727e9d4811782d3510e1e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 39, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e8a0aed4811782d31f24e3
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 325, Row: 14, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e8e212d4811782d30fcdae
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 17, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eb08ddd4811782d3517c8c
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 324, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eb59fcd4811782d38550b3
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 306, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2ab0b271341d1dbd8d5
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 309, Row: 19, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2ac0b271341d1dbec86
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 323, Row: 18, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2af0b271341d1dc219a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 307, Row: 17, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2bd0b271341d1dccf06
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 305, Row: 13, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2bf0b271341d1dcdbc6
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 326, Row: 10, Price: $66.00, Est. Price: $66.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b80b271341d1b650ec
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 302, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef463b0b271341d1733767
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 330, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef466e0b271341d17a397e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 331, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef48640b271341d1b781e1
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 301, Row: 32, Price: $69.00, Est. Price: $69.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef51720b271341d18785da
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 322, Row: 11, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e727e7d4811782d350deb8
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 316, Row: 14, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e75c54d4811782d37834ae
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 314, Row: 11, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e85eccd4811782d38d1b2e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 19, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ec6495d4811782d3666ce0
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 313, Row: 14, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2bf0b271341d1dcdbbb
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 11, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b20b271341d1b58afe
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 315, Row: 13, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b40b271341d1b5b0ae
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 311, Row: 14, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b50b271341d1b5e654
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 317, Row: 11, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b50b271341d1b5e679
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 12, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042b70b271341d1b617f4
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 12, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042c20b271341d1b7a96a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 321, Row: 11, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042c90b271341d1b8ce32
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 312, Row: 20, Price: $71.00, Est. Price: $71.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f042ce0b271341d1b97ad6
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 39, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad0b98988f2db63a769
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 39, Price: $72.00, Est. Price: $72.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764fad3b98988f2db63dd3e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 39, Price: $73.00, Est. Price: $73.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef55990b271341d1e67af6
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 327, Row: 40, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e853f8d4811782d334893a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 308, Row: 40, Price: $75.00, Est. Price: $75.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef462e0b271341d171802e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 31, Price: $76.00, Est. Price: $76.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/6764facfb98988f2db63852d
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 216, Row: 8, Price: $79.00, Est. Price: $79.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e71c54d4811782d3e5831f
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 136, Row: 37, Price: $81.00, Est. Price: $81.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/679bf33df6af5e52e406073c
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 320, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef46560b271341d176a4b0
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 318, Row: 32, Price: $82.00, Est. Price: $82.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef482f0b271341d1b240f9
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 137, Row: 29, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/670ea1b7f0923f9bcdad09b6
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 12, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/677e8d99b98988f2db71c873
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 13, Price: $85.00, Est. Price: $85.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e5cbfcd4811782d38be74a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 205, Row: 11, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67c71608dec8018c7605be54
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 102, Row: 23, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e727ebd4811782d3513092
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 138, Row: 34, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e727fcd4811782d352dc64
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 143, Row: 18, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e77a0fd4811782d382c67a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 106, Row: 29, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e82072d4811782d3047316
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 104, Row: 24, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e99635d4811782d31557af
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 33, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e9dbd6d4811782d375bd9e
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 101, Row: 25, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67e9e672d4811782d39c8ace
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 21, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ec8950d4811782d33c11a8
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 105, Row: 27, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ecac41d4811782d32cedf2
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 140, Row: 24, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67edb2e0d4811782d31ac8a9
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 25, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67edbd94d4811782d36978fd
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 103, Row: 26, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67eee2bc0b271341d1dcc65b
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 144, Row: 17, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef3bc50b271341d181566d
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 107, Row: 31, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67ef49ec0b271341d1ecae23
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 141, Row: 26, Price: $87.00, Est. Price: $87.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67f037590b271341d16e7db3
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 310, Row: 3, Price: $89.00, Est. Price: $89.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/670ea1b2f0923f9bcdac7cfc
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 215, Row: 10, Price: $90.00, Est. Price: $90.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67c71609dec8018c7605d2f8
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 139, Row: 36, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/679bf331f6af5e52e403dd6a
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 142, Row: 13, Price: $91.00, Est. Price: $91.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67d88197dec8018c7665aaac
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 319, Row: 9, Price: $92.00, Est. Price: $92.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67edfee1d4811782d30069c0
Date: 05-09-2025, Home Team: Dbacks, Away Team: Dodgers, Section: 108, Row: 28, Price: $93.00, Est. Price: $93.00, URL: https://gametime.co/mlb-baseball/dodgers-at-diamondbacks-tickets/5-9-2025-phoenix-az-chase-field/events/66a1711082a078a95ab95ae6/listings/67896e705f5eedb9b551813c
