Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 302, Row: 2, Price: $15, Est. Price: $27.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276951
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 312, Row: 10, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8969551207
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 141, Row: 13, Price: $19, Est. Price: $34.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076402054
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 307, Row: 2, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8827480824
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8655259917
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 32, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8655259928
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 316, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276429
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 315, Row: 9, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276412
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 141, Row: 12, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076405792
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 140, Row: 13, Price: $20, Est. Price: $36.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9034271778
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 308, Row: 1, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8943977862
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 320, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936805902
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 319, Row: 9, Price: $21, Est. Price: $37.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8937478412
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 313, Row: 8, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936805828
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 321, Row: 9, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8937478489
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 102, Row: 18, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936805782
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 102, Row: 19, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936800935
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 30, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936800861
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 104, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076402381
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 103, Row: 14, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076402158
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 141, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076405692
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 144, Row: 11, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076402316
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 310, Row: 3, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936274451
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 306, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936274390
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 324, Row: 2, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276439
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 139, Row: 17, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936274481
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 107, Row: 29, Price: $22, Est. Price: $39.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936276544
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 313, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8781953390
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 140, Row: 11, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9036347048
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 15, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8897571219
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 101, Row: 22, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9034268197
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 311, Row: 2, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936708857
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 307, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936708131
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 325, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936706273
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 305, Row: 1, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936706178
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 137, Row: 29, Price: $23, Est. Price: $41.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936706530
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 328, Row: 9, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8829623444
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 304, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8655259918
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 329, Row: 40, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8655259930
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 321, Row: 2, Price: $24, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8937076855
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 2, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764924
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 10, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985618
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985623
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985628
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 13, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985631
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985637
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8910985641
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 16, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764913
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 17, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764919
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 18, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764920
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 19, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764922
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 20, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764931
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 11, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486566
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 21, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764936
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 12, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486575
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 300, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8913764946
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 13, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486588
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 14, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486594
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 15, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486599
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 16, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486606
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 17, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486618
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 18, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486632
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 19, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486642
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 20, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486651
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 21, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486653
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 22, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486658
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 23, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486662
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 24, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486556
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 332, Row: 25, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8921486648
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 28, Price: $25, Est. Price: $45.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8937077613
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 11, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076410216
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 14, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936624242
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 136, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936622145
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 107, Row: 26, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936623802
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 309, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8846635314
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 138, Row: 25, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8510877655
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 323, Row: 8, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8829666089
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 326, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8829615360
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 327, Row: 9, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8829615178
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 105, Row: 18, Price: $26, Est. Price: $41.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9034268594
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 10, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8703443009
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 311, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936621835
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 314, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936623577
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 315, Row: 1, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936621908
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 11, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936622260
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 142, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936622290
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 143, Row: 12, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936892661
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 20, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936624522
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 108, Row: 21, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936624566
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 133, Row: 9, Price: $27, Est. Price: $43.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076412850
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 310, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936624648
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 321, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8969549769
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 319, Row: 1, Price: $28, Est. Price: $44.80, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936622047
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 7, Price: $29, Est. Price: $46.40, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8536497983
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 318, Row: 10, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8829614942
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076432390
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 133, Row: 6, Price: $30, Est. Price: $48.00, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8076434721
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 111, Row: 5, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=9032007803
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 135, Row: 12, Price: $31, Est. Price: $49.60, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8936708954
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 322, Row: 11, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8919189541
Date: 08-19-2025, Home Team: Dbacks, Away Team: Guardians, Section: 322, Row: 12, Price: $32, Est. Price: $51.20, URL: https://www.stubhub.com/arizona-diamondbacks-phoenix-tickets-8-19-2025/event/154664260/?quantity=2&listingId=8919189544
